DatetimeIndex,open,high,low,close
2022-07-21,16523.55,16626.95,16483.90,16605.25
2022-07-22,16661.25,16752.25,16610.90,16719.45
2022-07-25,16662.55,16706.05,16564.25,16631.00
2022-07-26,16632.90,16636.10,16463.30,16483.85
2022-07-27,16475.35,16653.45,16438.75,16641.80
2022-07-28,16774.85,16947.65,16746.25,16929.60
2022-07-29,17079.50,17172.80,17018.15,17158.25
2022-08-01,17243.20,17356.25,17154.80,17340.05
2022-08-02,17310.15,17390.15,17215.85,17345.45
2022-08-03,17349.25,17407.50,17225.85,17388.15
2022-08-04,17463.10,17490.70,17161.25,17382.00
2022-08-05,17423.65,17474.40,17348.75,17397.50
2022-08-08,17401.50,17548.80,17359.75,17525.10
2022-08-10,17566.10,17566.10,17442.80,17534.75
2022-08-11,17711.65,17719.30,17631.95,17659.00
2022-08-12,17659.65,17724.65,17597.85,17698.15
2022-08-16,17797.20,17839.10,17764.05,17825.25
2022-08-17,17868.15,17965.95,17833.35,17944.25
2022-08-18,17898.65,17968.45,17852.05,17956.50
2022-08-19,17966.55,17992.20,17710.75,17758.45
2022-08-22,17682.90,17690.05,17467.35,17490.70
2022-08-23,17357.35,17625.55,17345.20,17577.50
2022-08-24,17525.45,17623.65,17499.25,17604.95
2022-08-25,17679.00,17726.50,17487.45,17522.45
2022-08-26,17619.30,17685.85,17519.35,17558.90
2022-08-29,17188.65,17380.15,17166.20,17312.90
2022-08-30,17414.95,17777.65,17401.50,17759.30
2022-09-01,17485.70,17695.60,17468.45,17542.80
2022-09-02,17598.40,17643.85,17476.45,17539.45
2022-09-05,17546.45,17683.15,17540.35,17665.80
2022-09-06,17695.70,17764.65,17587.65,17655.60
2022-09-07,17519.40,17650.75,17484.30,17624.40
2022-09-08,17748.15,17807.65,17691.95,17798.75
2022-09-09,17923.35,17925.95,17786.00,17833.35
2022-09-12,17890.85,17980.55,17889.15,17936.35
2022-09-13,18044.45,18088.30,18015.45,18070.05
2022-09-14,17771.15,18091.55,17771.15,18003.75
2022-09-15,18046.35,18096.15,17861.50,17877.40
2022-09-16,17796.80,17820.05,17497.25,17530.85
